drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2014-02-25,4,20,22,25,27,0,408,10
2014-02-26,3,14,19,27,35,0,465,10
2014-02-27,3,4,6,32,33,655768,535,12
2014-02-28,15,19,23,28,29,76544,433,9
2014-03-01,8,10,25,34,36,69390,609,12
2014-03-02,1,26,29,30,31,66877,532,12
2014-03-03,2,7,22,26,27,0,358,9
2014-03-04,9,18,21,31,39,0,698,12
2014-03-05,1,5,15,23,24,292498,458,9
2014-03-06,6,9,29,30,35,0,631,11
2014-03-07,6,7,12,31,35,0,506,11
2014-03-08,3,15,23,25,36,0,626,11
2014-03-09,3,17,28,31,36,0,555,11
2014-03-10,21,29,35,37,40,673312,683,12
2014-03-11,1,11,21,30,31,71441,291,10
2014-03-12,10,12,13,20,28,0,333,9
2014-03-13,6,12,20,21,33,0,542,11
2014-03-14,6,8,13,28,30,0,398,9
2014-03-15,11,22,23,35,39,0,553,12
2014-03-16,3,5,8,18,25,134861,322,8
2014-03-17,5,15,19,23,34,0,440,10
2014-03-18,9,18,27,28,35,0,584,11
2014-03-19,1,12,17,30,38,301400,683,12
2014-03-20,5,8,10,23,26,24290,328,8
2014-03-21,4,9,11,32,39,0,630,11
2014-03-22,12,20,26,30,37,0,587,12
2014-03-23,3,12,34,37,40,0,632,12
2014-03-24,19,21,22,27,30,443858,566,10
2014-03-25,1,9,13,22,38,0,442,11
2014-03-26,10,16,22,24,26,0,448,10
2014-03-27,6,10,18,29,30,298416,431,10
2014-03-28,6,8,15,16,33,0,613,10
2014-03-29,3,6,10,21,39,0,499,10
2014-03-30,13,19,23,26,29,0,436,9
2014-03-31,1,7,20,24,33,453682,592,11
2014-04-01,8,17,26,27,32,72454,550,11
2014-04-02,6,10,17,20,34,69667,529,11
2014-04-03,20,23,26,27,33,38283,672,12
2014-04-04,8,19,25,30,40,0,486,10
2014-04-05,4,8,33,39,40,169346,591,12
2014-04-06,11,14,35,36,39,0,666,14
2014-04-07,7,15,22,24,37,0,702,11
2014-04-08,2,3,18,30,33,145529,564,11
2014-04-09,1,9,10,31,40,0,543,11
2014-04-10,1,4,18,19,36,0,687,11
2014-04-11,21,31,35,36,38,0,553,13
2014-04-12,2,5,12,15,20,156094,341,9
2014-04-13,6,12,15,17,35,61193,511,11
2014-04-14,2,4,5,6,8,36577,137,6
2014-04-15,3,15,17,29,38,71631,536,11
2014-04-16,2,4,29,31,34,69145,607,13
2014-04-17,6,9,11,15,39,24938,488,10
2014-04-18,5,12,13,17,27,0,395,8
2014-04-19,6,8,9,28,37,0,502,10
2014-04-20,2,3,15,20,36,0,598,11
2014-04-21,9,24,25,29,38,0,539,11
2014-04-22,9,10,11,17,22,630260,412,9
2014-04-23,4,16,29,33,37,67546,529,12
2014-04-24,6,17,25,31,35,0,519,12
2014-04-25,3,15,30,32,35,175501,654,12
2014-04-26,6,7,30,33,39,66466,513,12
2014-04-27,2,25,26,34,36,0,571,14
2014-04-28,2,6,17,33,35,0,476,12
2014-04-29,8,10,12,18,28,287655,294,7
2014-04-30,26,28,33,34,36,0,726,14
2014-05-01,18,19,22,26,32,0,602,11
2014-05-02,10,11,13,16,38,0,520,11
2014-05-03,3,11,13,19,34,0,482,10
2014-05-04,1,21,24,29,34,0,591,12
2014-05-05,1,3,9,15,18,337633,404,9
2014-05-06,9,13,15,23,37,70289,542,10
2014-05-07,14,15,30,37,39,0,789,14
2014-05-08,9,19,20,35,36,0,578,12
2014-05-09,8,13,19,33,40,0,531,11
2014-05-10,6,8,13,24,32,259620,510,10
2014-05-11,16,17,26,29,31,30815,570,11
2014-05-12,1,17,26,29,30,71322,519,11
2014-05-13,3,9,22,25,37,0,666,10
2014-05-14,1,2,5,21,31,161373,546,9
2014-05-15,15,26,31,37,40,73183,793,14
2014-05-16,8,14,23,28,36,87270,516,10
2014-05-17,3,19,28,31,40,0,564,11
2014-05-18,16,33,37,38,39,0,716,12
2014-05-19,10,14,18,31,38,0,595,12
2014-05-20,21,22,26,28,29,0,494,11
2014-05-21,5,7,24,28,36,0,529,10
2014-05-22,2,8,14,18,36,455637,525,10
2014-05-23,5,13,19,34,39,0,477,11
2014-05-24,11,12,24,29,39,0,625,11
2014-05-25,5,11,16,25,30,148211,428,9
2014-05-26,3,8,28,30,32,0,462,10
2014-05-27,14,20,21,33,34,0,762,13
2014-05-28,8,11,21,25,28,95256,365,9
2014-05-29,3,17,27,35,40,0,634,12
